,EntryDateTime,ExitDateTime,EntryPrice,ExitPrice,DollarPnL,PercentPnL,HoldingDuration
0,1981-03-11,1981-05-22,0.0755584985017776,0.1096254959702491,0.03406699746847151,0.45086916950407707,72
1,1981-07-01,1981-12-18,0.0899712294340133,0.0799265280365943,-0.010044701397419004,-0.11164348270672447,170
2,1982-03-05,1982-08-23,0.0580885782837867,0.0537205301225185,-0.0043680481612681996,-0.07519633446576159,171
3,1983-07-19,1983-12-16,0.1528646945953369,0.0864774137735366,-0.06638728082180029,-0.4342878582758469,150
4,1984-10-12,1985-10-16,0.0794897824525833,0.0628926008939743,-0.016597181558608995,-0.2087964144135057,369
5,1987-10-19,1988-03-03,0.2557835876941681,0.32721608877182,0.07143250107765192,0.2792692905811509,136
6,1989-12-11,1990-03-16,0.280727744102478,0.2888078391551971,0.00808009505271906,0.028782673684612622,95
7,1990-08-22,1990-11-12,0.253497302532196,0.2616166472434997,0.008119344711303711,0.03202931404081704,82
8,1991-05-01,1991-08-13,0.3428634107112884,0.3892095983028412,0.04634618759155279,0.1351739093285141,104
9,1992-06-16,1992-10-26,0.3613617122173309,0.3788860142230987,0.017524302005767822,0.048495182010949524,132
10,1993-02-16,1993-05-20,0.391603410243988,0.4340892136096954,0.0424858033657074,0.10849191364098866,93
11,1993-06-09,1993-10-21,0.3276353776454925,0.2249624133110046,-0.10267296433448789,-0.31337569548298877,134
12,1994-04-14,1994-07-29,0.2359451353549957,0.253326416015625,0.0173812806606293,0.07366662014233931,106
13,1995-03-14,1995-05-12,0.2656307518482208,0.3310897946357727,0.06545904278755188,0.24642870726411462,59
14,1995-09-15,1995-11-14,0.2737722992897033,0.3166980743408203,0.042925775051117,0.15679371200989675,60
15,1995-12-18,1997-08-01,0.2468748688697815,0.1468811929225921,-0.09999367594718939,-0.4050378898628714,592
16,1997-10-24,1998-01-06,0.1267863065004348,0.144967645406723,0.018181338906288202,0.1434014398568023,74
17,2000-09-29,2001-12-05,0.3942345082759857,0.3637680411338806,-0.030466467142105103,-0.07728006174633731,432
18,2002-06-11,2002-11-04,0.3132444620132446,0.2585873901844024,-0.05465707182884216,-0.17448695334486441,146
19,2005-04-15,2005-07-19,1.082423448562622,1.3224854469299316,0.24006199836730957,0.22178196406045533,95
20,2006-03-28,2006-07-31,1.7977110147476196,2.0809481143951416,0.283237099647522,0.15755429950863686,125
21,2008-01-23,2008-04-07,4.2583489418029785,4.773381233215332,0.5150322914123535,0.12094647443201065,75
22,2008-09-09,2009-03-23,4.644469261169434,3.2965683937072754,-1.3479008674621582,-0.2902163394064039,195
23,2012-11-02,2013-08-02,17.737548828125,14.467243194580078,-3.270305633544922,-0.18437190308727788,273
24,2015-07-09,2016-03-22,27.398134231567383,24.70011329650879,-2.6980209350585938,-0.09847462284311344,257
25,2016-04-27,2016-07-28,22.64022445678711,24.29629898071289,1.6560745239257812,0.07314744282181009,92
26,2016-11-14,2017-01-09,24.87572479248047,28.000778198242188,3.1250534057617188,0.12562662723726434,56
27,2018-02-02,2018-05-09,38.37629318237305,44.981292724609375,6.604999542236328,0.17211145200626435,96
28,2018-11-20,2019-03-13,42.95204544067383,44.28913116455078,1.3370857238769531,0.031129733407545424,113
29,2019-05-31,2019-10-21,42.835052490234375,59.07008743286133,16.235034942626953,0.3790128410914928,143
30,2020-02-27,2020-06-05,67.53905487060547,82.07738494873047,14.538330078125,0.21525812148212947,99
31,2021-02-25,2021-06-30,120.42837524414062,136.55581665039062,16.12744140625,0.133917287961042,125
